iter	Logloss
0	0.6797181047
1	0.6679319996
2	0.6573569161
3	0.649057745244	0.641180402955	0.634577848866	0.629185566477	0.62405273828	0.6188103601
99	0.6157425963110	0.6125065444111	0.6097517197112	0.6070539918113	0.6044525419114	0.6024754725115	0.6004769187116	0.5988611286117	0.5973770901118	0.5960742381119	0.5948153526220	0.5937228703221	0.592824971722	0.5909453523
23	0.5901424605
24	0.5894676738
25	0.588923373
26	0.5883355249
27	0.5877930984
28	0.587249909
29	0.5866818483
30	0.5862599533
31	0.5857868992
32	0.5854283448
33	0.5851109056
34	0.5847632299
35	0.5844841193
36	0.5841729549
37	0.5838819395
38	0.5836100187
39	0.58331822
40	0.5830922859
41	0.5828422513
42	0.5826507494
43	0.5824306444
44	0.5821942026
45	0.5820105314
46	0.5818402594
47	0.5816613718
48	0.5814913838
49	0.5813304045
50	0.5811960016
51	0.5810273371
52	0.5808836251
53	0.5807101867
54	0.5805622752
55	0.5804394104
56	0.5803274104
57	0.5801998113
58	0.580097308
59	0.5799402906
60	0.5798307971
61	0.5796827811
62	0.5795705613
63	0.5794542593
64	0.5793406299
65	0.5792140812
66	0.5791282267
67	0.5790234594
68	0.5789042007
69	0.578793825
70	0.5787023916
71	0.5786040603
72	0.5785102687
73	0.5784110226
74	0.5783392867
75	0.5782326471
76	0.578167375
77	0.5780836591
78	0.5780091186
79	0.577913274
80	0.5778280537
81	0.5777538498
82	0.5776690915
83	0.5775873441
84	0.5774937464
85	0.5773902954
86	0.5773195618
87	0.5772620764
88	0.5772208606
89	0.5771365648
90	0.5770435216
91	0.5769854458
92	0.5769213251
93	0.576849257
94	0.5767681775
95	0.5766900284
96	0.5766382264
97	0.5765620238
98	0.5765113627
99	0.5764470244
100	0.5763698038
101	0.5763086625
102	0.5762579422
103	0.5761934046
104	0.5761225759
105	0.5760578186
106	0.5759891582
107	0.5759299674
108	0.5758768014
109	0.5758163831
110	0.5757497615
111	0.5756743559
112	0.5756247433
113	0.5755573559
114	0.5755032985
115	0.5754365134
116	0.575388501
117	0.5753115949
118	0.5752874435
119	0.575234285
120	0.5751579494
121	0.57510146
122	0.5750428587
123	0.5750008574
124	0.5749238665
125	0.5748834664
126	0.5748381339
127	0.5747850121
128	0.5747380871
129	0.5746658633
130	0.5746235515
131	0.574558664
132	0.5745186527
133	0.5744733051
134	0.5744193383
135	0.5743789255
136	0.574315811
137	0.5742430162
138	0.5741867098
139	0.5741378284
140	0.5741239402
141	0.5740519581
142	0.5740159359
143	0.5739742113
144	0.5739325793
145	0.5738734355
146	0.5738387279
147	0.5737821132
148	0.5737221115
149	0.5736738798
150	0.573639746
151	0.57360271
152	0.5735508333
153	0.5734817597
154	0.5734326222
155	0.5733823671
156	0.5733201177
157	0.5732616105
158	0.5732167175
159	0.5731671849
160	0.5731046404
161	0.5730663322
162	0.573005474
163	0.5729682267
164	0.5729257756
165	0.5728863138
166	0.572858106
167	0.5728212267
168	0.5727825836
169	0.5727219476
170	0.5726734835
171	0.5726288713
172	0.572579797
