iter	Passed	Remaining
0	205	205464
1	288	144105
2	375	124822
3	429	106841
4	476	94889
5	565	93723
6	683	96963
7	859	106522
8	98	1078	1189	1122	111173
10	1234	110967
11	1291	106368
12	1357	103099
13	1428	100641
14	1492	97976
15	1551	95441
16	1621	93772
17	1670	91141
18	1729	89271
19	1776	87062
20	1823	84987
21	1877	83446
22	1922	2024	823	1923	2079	824	2024	2135	825	2025	2188	826	2126	2241	827	2127	2300	728	2228	2349	729	2229	2409	730	2330	2461	731	2431	2604	732	2532	2740	833	2633	2880	834	2834	3065	84521
35	3198	85661
36	3306	86071
37	3494	88453
38	3688	90886
39	3757	90168
40	4043	94569
41	4116	93901
42	4184	93133
43	4255	92460
44	4319	91678
45	4379	90819
46	4436	89966
47	4487	89011
48	4539	88100
49	4596	87337
50	4667	86847
51	4734	86312
52	4811	85976
53	4885	85587
54	4949	85043
55	5015	84541
56	5085	84127
57	5147	83599
58	5205	83021
59	5261	82428
60	5322	81933
61	5385	81470
62	5458	81179
63	5519	80718
64	5573	80169
65	5628	79646
66	5682	79130
67	5734	78592
68	5795	78191
69	5855	77801
70	5919	77458
71	6000	77338
72	6061	76977
73	6122	76613
74	6181	76235
75	6247	75960
76	6321	75781
77	6383	75458
78	6435	75027
79	6492	74669
80	6553	74352
81	6612	74022
82	6667	73664
83	6738	73482
84	6805	73263
85	6868	72999
86	6935	72784
87	6999	72540
88	7057	72238
89	7126	72056
90	7191	71833
91	7252	71581
92	7304	71235
93	7361	70954
94	7450	70972
95	7514	796	7396	7557	797	7397	7615	70092
98	7675	69858
99	7755	69799
100	7837	69764
101	7904	69592
102	7994	69617
103	8055	69396
104	8125	69262
105	8186	69046
106	8246	68824
107	8306	68609
108	8367	68400
109	8419	68123
110	8469	67836
111	8520	67554
112	8573	67300
113	8631	67081
114	8712	67048
115	8770	66839
116	8834	66672
117	8884	66410
118	8934	66148
119	8996	65973
120	9053	65766
121	9103	65516
122	9166	65357
123	9233	65230
124	9324	65273
125	9394	65166
126	9452	64975
127	9517	64834
128	9576	64657
129	9637	64498
130	9698	64337
131	9776	64286
132	9896	64510
133	9961	64379
134	10027	64253
135	10124	64318
136	10198	64245
137	10293	64295
138	10378	64287
139	10516	64600
140	10672	65019
141	10806	65297
142	10892	65280
143	10973	65229
144	11103	65472
145	11183	65416
146	11321	65694
147	11393	65590
148	11454	65420
149	11504	65190
150	11653	65520
151	11759	65604
152	11847	65587
153	11922	65497
154	11987	65353
155	12049	65190
156	12115	65054
157	12177	64897
158	12240	64744
159	12298	64566
160	12364	64432
161	12427	64285
162	12483	64102
163	12541	63933
164	12734	64443
165	12836	64492
166	12888	64290
167	12944	64107
168	12994	63896
169	13042	63679
170	13104	63529
171	13156	63335
172	13204	63121
173	13256	62928
174	13309	62745
175	13363	62564
176	13418	62391
177	13468	62196
178	13518	62004
179	13570	61819
180	13626	61655
181	13684	61506
182	13739	61341
183	13787	61143
184	13847	61002
185	13898	60822
186	13948	60643
187	14000	60471
188	14050	60292
189	14110	60157
190	14162	59984
191	14217	59831
192	14281	59716
193	14394	59803
194	14468	59727
195	14537	59634
196	14602	59521
197	14671	59428
198	14734	59307
199	14797	59189
200	14858	59063
201	14922	58950
202	14993	58866
203	15081	58845
204	15151	58759
205	15220	58663
206	15282	58547
207	15353	58461
208	15431	58401
209	15508	58342
210	15574	58236
211	15636	58119
212	15697	57998
213	15753	57860
214	15820	57763
215	15881	57642
216	15941	57522
217	16005	57412
218	16095	57398
219	16154	57274
220	16208	57134
221	16273	57030
222	16336	56921
223	16397	56804
224	16458	56689
225	16520	56579
226	16588	56487
227	16675	56463
228	16777	56488
229	16847	56402
230	16909	56293
231	16959	56141
232	17010	55995
233	17059	55845
234	17111	55703
235	17164	55566
236	17210	55406
237	17263	55273
238	17312	55124
239	17351	54946
240	17392	54774
241	17437	54619
242	17481	54457
243	17526	54302
244	17572	54150
245	17618	54002
246	17665	53855
247	17715	53718
248	17774	53610
249	17836	53509
250	17891	53389
251	17947	53273
252	18008	53171
253	18062	53050
254	18109	52907
255	18166	52795
256	18217	52668
257	18268	52539
258	18316	52403
259	18361	52259
260	18402	52104
261	18444	51954
262	18487	51808
263	18533	51668
264	18575	51519
265	18617	51372
266	18663	51238
267	18708	51099
268	18767	50999
269	18818	50880
270	18867	50754
271	18919	50638
272	18970	50518
273	19030	50423
274	19079	50301
275	19131	50185
276	19178	50056
277	19231	49945
278	19281	49828
279	19328	49700
280	19368	49559
281	19409	49418
282	19453	49285
283	19493	49146
284	19535	49010
285	19588	48901
286	19634	48777
287	19681	48656
288	19719	48512
289	19764	48390
290	19825	48303
291	19875	48190
292	19922	48073
293	19978	47975
294	20037	47885
295	20085	47770
296	20138	47668
297	20185	47550
298	20239	47450
299	20292	47349
300	20347	47252
301	20393	47135
302	20436	47011
303	20482	46894
304	20525	46770
305	20563	46637
306	20611	46526
307	20660	46418
308	20709	46310
309	20754	46195
310	20817	46119
311	20866	46013
312	20915	45908
313	20973	45820
314	21027	45727
315	21089	45648
316	21138	45545
317	21192	45449
318	21242	45348
319	21292	45246
320	21335	45131
321	21389	45037
322	21446	44950
323	21494	44845
324	21547	44752
325	21666	44794
326	21770	44805
327	21861	44790
328	21915	44695
329	21969	44604
330	22036	44539
331	22100	44467
332	22160	44386
333	22207	44282
334	22271	44210
335	22334	44137
336	22388	44046
337	22444	43960
338	22485	43843
339	22537	43749
340	22593	43662
341	22632	43544
342	22678	43439
343	22728	43341
344	22783	43256
345	22837	43166
346	22890	43076
347	22940	42979
348	22988	42881
349	23032	42774
350	23088	42691
351	23136	42593
352	23192	42507
353	23244	42418
354	23294	42323
355	23351	42242
356	23400	42147
357	23444	42042
358	23487	41936
359	23537	41843
360	23582	41743
361	23633	41652
362	23678	41551
363	23736	41474
364	23796	41399
365	23846	41307
366	23900	41223
367	23950	41131
368	24000	41041
369	24048	40947
370	24106	40870
